id,title,description,tag,estimated_hours,created_at,due_date,days_left,priority,type,assignee
TASK0001,Add search feature,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",data,4,2025-10-03,2025-10-11,-12,Medium,bug,Alice
TASK0002,Refactor auth module,Need to implement a search bar with fuzzy matching and filters.,research,6,2025-10-02,2025-10-04,-19,Medium,bug,Bob
TASK0003,Refactor auth module,Allow users to export orders in CSV and Excel format.,backend,8,2025-10-16,2025-10-23,0,High,feature,Esha
TASK0004,Database migration,Design and implement onboarding wizard for new users.,research,4,2025-10-10,2025-10-11,-12,Medium,feature,Bob
TASK0005,Investigate crash on submit,Speed up image loading using lazy loading and compression.,devops,2,2025-10-01,2025-10-08,-15,Medium,chore,Chitra
TASK0006,Add search feature,App crashes intermittently when submitting large form payloads.,backend,4,2025-10-20,2025-11-01,9,Low,feature,Alice
TASK0007,Create onboarding flow,Refactor authentication flow to use OAuth2 best practices.,backend,6,2025-09-30,2025-10-03,-20,Medium,feature,Esha
TASK0008,Optimize image loading,Allow users to export orders in CSV and Excel format.,frontend,12,2025-09-25,2025-09-28,-25,High,bug,Bob
TASK0009,Write unit tests,Need to implement a search bar with fuzzy matching and filters.,ux,2,2025-09-29,2025-10-03,-20,Medium,feature,Dev
TASK0010,Optimize image loading,Profile page layout looks cramped on mobile devices. Improve spacing.,devops,4,2025-10-03,2025-10-10,-13,Medium,feature,Alice
TASK0011,Update user profile UI,Refactor authentication flow to use OAuth2 best practices.,data,2,2025-10-04,2025-10-10,-13,Medium,feature,Chitra
TASK0012,Refactor auth module,Add migration scripts to move old schema to new one. Ensure backups.,data,4,2025-09-24,2025-09-26,-27,Medium,bug,Alice
TASK0013,Optimize image loading,App crashes intermittently when submitting large form payloads.,devops,1,2025-09-28,2025-10-05,-18,Medium,chore,Esha
TASK0014,Optimize image loading,Add migration scripts to move old schema to new one. Ensure backups.,data,6,2025-09-25,2025-10-08,-15,Medium,chore,Dev
TASK0015,Write unit tests,Profile page layout looks cramped on mobile devices. Improve spacing.,frontend,12,2025-10-19,2025-11-06,14,Low,feature,Esha
TASK0016,Add export CSV,App crashes intermittently when submitting large form payloads.,devops,2,2025-10-10,2025-10-15,-8,Medium,feature,Alice
TASK0017,Fix login error,Need to implement a search bar with fuzzy matching and filters.,frontend,12,2025-09-29,2025-10-05,-18,High,feature,Dev
TASK0018,Add search feature,App crashes intermittently when submitting large form payloads.,testing,8,2025-10-04,2025-10-19,-4,High,feature,Esha
